Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
Paris (1900),1900,Athletics,Athletics,Sidney Robinson,GBR,Men,4000m steeplechase men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,John Rimmer,GBR,Men,4000m steeplechase men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Charles Bennett,GBR,Men,4000m steeplechase men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Ernst Schultz,DEN,Men,400m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Maxwell W.Maxey Long,USA,Men,400m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,William Holland,USA,Men,400m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,George Orton,CAN,Men,400m hurdles men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,400m hurdles men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Henri Tauzin,FRA,Men,400m hurdles men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Charles Bennett,ZZX,Men,5000m team men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,John Rimmer,ZZX,Men,5000m team men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Sidney Robinson,ZZX,Men,5000m team men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Stanley Rowley,ZZX,Men,5000m team men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,ZZX,Men,5000m team men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,André Castanet,FRA,Men,5000m team men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Michel Champoudry,FRA,Men,5000m team men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Jacques Chastanie,FRA,Men,5000m team men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Henri Deloge,FRA,Men,5000m team men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Gaston Ragueneau,FRA,Men,5000m team men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,60m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,60m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,60m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,David Hall,USA,Men,800m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alfred Tysoe,GBR,Men,800m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,John Cregan,USA,Men,800m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Richard Sheldon,USA,Men,discus throw men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Rudolf Bauer,HUN,Men,discus throw men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Frantisek Janda,BOH,Men,discus throw men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Josiah Mccracken,USA,Men,hammer throw men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,John Jesus Flanagan,USA,Men,hammer throw men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Thomas Truxton Hare,USA,Men,hammer throw men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Lajos Gönczy,HUN,Men,high jump men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,high jump men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Patrick Joseph Leahy,GBR,Men,high jump men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Lewis Pendleton Sheldon,USA,Men,"high jump, standing men",Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Ray Ewry,USA,Men,"high jump, standing men",Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,"high jump, standing men",Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Patrick Joseph Leahy,GBR,Men,long jump men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,long jump men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Meyer Prinstein,USA,Men,long jump men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Emile Torcheboeuf,FRA,Men,"long jump, standing men",Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Ray Ewry,USA,Men,"long jump, standing men",Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,"long jump, standing men",Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Ernst Fast,SWE,Men,marathon men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Michel Theato,FRA,Men,marathon men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Emile Champion,FRA,Men,marathon men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Carl Albert Andersen,NOR,Men,pole vault men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,pole vault men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Meredith Bright Colkett,USA,Men,pole vault men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Robert Garrett,USA,Men,shot put men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Richard Sheldon,USA,Men,shot put men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Josiah Mccracken,USA,Men,shot put men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Lewis Pendleton Sheldon,USA,Men,triple jump men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Meyer Prinstein,USA,Men,triple jump men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,James Connolly,USA,Men,triple jump men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Robert Garrett,USA,Men,"triple jump, standing men",Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Ray Ewry,USA,Men,"triple jump, standing men",Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Irving Baxter,USA,Men,"triple jump, standing men",Silver,0,1,0
Paris (1900),1900,Basque Pelota,Basque Pelota,José De amezola y aspizua,ESP,Men,cesta punta men,Gold,1,0,0
Paris (1900),1900,Basque Pelota,Basque Pelota,Francisco Villota baquiola,ESP,Men,cesta punta men,Gold,1,0,0
Paris (1900),1900,Basque Pelota,Basque Pelota,Maurice Durquetty,FRA,Men,cesta punta men,Silver,0,1,0
Paris (1900),1900,Basque Pelota,Basque Pelota,Etchegaray,FRA,Men,cesta punta men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,Charles Beachcroft,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Arthur Ernest Birkett,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Alfred James Bowerman,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,George John Buckley,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Francis Romulus Burchell,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Frederick William Christian,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Harry Richard Corner,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Frederick Wlliam Cuming,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,William Stephen Donne,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Alfred James Powlesland,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,John Symes,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,Montagu Henry Toller,GBR,Men,cricket men,Gold,1,0,0
Paris (1900),1900,Cricket,Cricket,W. Anderson,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,W.T. Attrill,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,J. Braid,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,W. Browning,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,R. Horne,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,T.H. Jordan,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,A. Mcevoy,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,D. Robinson,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,F. Roques,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,A.J. Schneidau,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,Henry John Terry,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Cricket,Cricket,P.H. Tomalin,FRA,Men,cricket men,Silver,0,1,0
Paris (1900),1900,Croquet,Croquet,Aumoitte,FRA,Men,double men,Gold,1,0,0
Paris (1900),1900,Croquet,Croquet,Johin,FRA,Men,double men,Gold,1,0,0
Paris (1900),1900,Croquet,Croquet,Waydelich,FRA,Men,individual 1 ball men,Bronze,0,0,1
Paris (1900),1900,Croquet,Croquet,Aumoitte,FRA,Men,individual 1 ball men,Gold,1,0,0
Paris (1900),1900,Croquet,Croquet,Johin,FRA,Men,individual 1 ball men,Silver,0,1,0
Paris (1900),1900,Croquet,Croquet,Sautreau,FRA,Men,individual 2 balls men,Bronze,0,0,1
Paris (1900),1900,Croquet,Croquet,Waydelich,FRA,Men,individual 2 balls men,Gold,1,0,0
Paris (1900),1900,Croquet,Croquet,Vignerot,FRA,Men,individual 2 balls men,Silver,0,1,0
Paris (1900),1900,Cycling,Cycling Track,..... Daumain,FRA,Men,25 kilometres men,Bronze,0,0,1
Paris (1900),1900,Cycling,Cycling Track,Louis Bastien,FRA,Men,25 kilometres men,Gold,1,0,0
Paris (1900),1900,Cycling,Cycling Track,Louis Hildebrand,FRA,Men,25 kilometres men,Silver,0,1,0
Paris (1900),1900,Cycling,Cycling Track,John Henry Lake,USA,Men,Sprint indivual men,Bronze,0,0,1
Paris (1900),1900,Cycling,Cycling Track,Georges Taillandier,FRA,Men,Sprint indivual men,Gold,1,0,0
Paris (1900),1900,Cycling,Cycling Track,Fernand Sanz,FRA,Men,Sprint indivual men,Silver,0,1,0
Paris (1900),1900,Equestrian,Jumping,Georges Van de poele,BEL,Men,high jump,Bronze,0,0,1
Paris (1900),1900,Equestrian,Jumping,Dominique Maximien Garderes,FRA,Men,high jump,Gold,1,0,0
Paris (1900),1900,Equestrian,Jumping,Gian Giorgio Trissino,ITA,Men,high jump,Gold,1,0,0
Paris (1900),1900,Equestrian,Jumping,Louis De champsavin,FRA,Men,individual,Bronze,0,0,1
Paris (1900),1900,Equestrian,Jumping,Aimé Haegeman,BEL,Men,individual,Gold,1,0,0
Paris (1900),1900,Equestrian,Jumping,Georges Van de poele,BEL,Men,individual,Silver,0,1,0
Paris (1900),1900,Equestrian,Jumping,De bellegarde,FRA,Men,long jump individual,Bronze,0,0,1
Paris (1900),1900,Equestrian,Jumping,Constant Van langhendonck,BEL,Men,long jump individual,Gold,1,0,0
Paris (1900),1900,Equestrian,Jumping,Gian Giorgio Trissino,ITA,Men,long jump individual,Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Léon See,FRA,Men,épée individual men,Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Ramon Fonst,CUB,Men,épée individual men,Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Louis Perree,FRA,Men,épée individual men,Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Léon See,FRA,Men,"épée, amateurs and masters men",Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Albert Ayat,FRA,Men,"épée, amateurs and masters men",Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Ramon Fonst,CUB,Men,"épée, amateurs and masters men",Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Henri Laurent,FRA,Men,"épée, masters men",Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Albert Ayat,FRA,Men,"épée, masters men",Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Emile Bougnol,FRA,Men,"épée, masters men",Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Marcel Jacques Boulenger,FRA,Men,foil individual men,Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Emile Coste,FRA,Men,foil individual men,Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Henri Masson,FRA,Men,foil individual men,Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Jean-Baptiste Mimiague,FRA,Men,"foil, masters men",Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Lucien Merignac,FRA,Men,"foil, masters men",Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Alphonse Kirchhoffer,FRA,Men,"foil, masters men",Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Siegfried Flesch,AUT,Men,sabre individual men,Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Georges De la falaise,FRA,Men,sabre individual men,Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Léon Thiebaut,FRA,Men,sabre individual men,Silver,0,1,0
Paris (1900),1900,Fencing,Fencing,Milan Neralic,AUT,Men,"sabre, masters men",Bronze,0,0,1
Paris (1900),1900,Fencing,Fencing,Antonio Conte,ITA,Men,"sabre, masters men",Gold,1,0,0
Paris (1900),1900,Fencing,Fencing,Italo Santelli,ITA,Men,"sabre, masters men",Silver,0,1,0
Paris (1900),1900,Football,Football,Albert Delbecque,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,R. Kelecom,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Marcel Leboutte,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Londot,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Ernest Moreau,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,E. Neefs,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Georges Pelgrims,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Alphonse Renier,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,E. Spannoghe,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Erich Thornton,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Van heuckelum,BEL,Men,football men,Bronze,0,0,1
Paris (1900),1900,Football,Football,Claude Percy Buckenham,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,T.E. Burridge,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,Alfred Ernest Chalk,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,William Sullivan Grosling,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,A. Haslam,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,J.H. Jones,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,J. Nicholas,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,William Francis Quash,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,F.G. Spackman,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,R.R. Turner,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,James Edward Zealley,GBR,Men,football men,Gold,1,0,0
Paris (1900),1900,Football,Football,Pierre Allemane,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Bach,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Jean Bloch,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Fernand Canelle,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Duparc,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Fraysse,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Gaillard,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,René Garnier,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Grandjean,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Huteau,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Lambert,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Macaire,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Football,Football,Peltier,FRA,Men,football men,Silver,0,1,0
Paris (1900),1900,Golf,Golf,David Donaldson Robertson,GBR,Men,individual men,Bronze,0,0,1
Paris (1900),1900,Golf,Golf,Charles Edward Sands,USA,Men,individual men,Gold,1,0,0
Paris (1900),1900,Golf,Golf,Walter Rutherford,GBR,Men,individual men,Silver,0,1,0
Paris (1900),1900,Golf,Golf,Daria Pratt,USA,Women,individual women,Bronze,0,0,1
Paris (1900),1900,Golf,Golf,Margaret Ives Abbott,USA,Women,individual women,Gold,1,0,0
Paris (1900),1900,Golf,Golf,Pauline Whittier,USA,Women,individual women,Silver,0,1,0
Paris (1900),1900,Gymnastics,Artistic Gymnastics,Lucien Demanet,FRA,Men,individual all-round men,Bronze,0,0,1
Paris (1900),1900,Gymnastics,Artistic Gymnastics,Gustave Sandras,FRA,Men,individual all-round men,Gold,1,0,0
Paris (1900),1900,Gymnastics,Artistic Gymnastics,Noël Bas,FRA,Men,individual all-round men,Silver,0,1,0
Paris (1900),1900,Polo,Polo,Jean Boussod,ZZX,Men,polo men,Bronze,0,0,1
Paris (1900),1900,Polo,Polo,Louis Duc de bisaccia,ZZX,Men,polo men,Bronze,0,0,1
Paris (1900),1900,Polo,Polo,A. Fauquet lemaitre,ZZX,Men,polo men,Bronze,0,0,1
Paris (1900),1900,Polo,Polo,Maurice Raoul-duval,ZZX,Men,polo men,Bronze,0,0,1
Paris (1900),1900,Polo,Polo,Dennis Daly,ZZX,Men,polo men,Gold,1,0,0
Paris (1900),1900,Polo,Polo,Foxhall Parker Keene,ZZX,Men,polo men,Gold,1,0,0
Paris (1900),1900,Polo,Polo,Frank Jay Mackey,ZZX,Men,polo men,Gold,1,0,0
Paris (1900),1900,Polo,Polo,Alfred Rawlinson,ZZX,Men,polo men,Gold,1,0,0
Paris (1900),1900,Polo,Polo,Walter Selby Buckmaster,ZZX,Men,polo men,Silver,0,1,0
Paris (1900),1900,Polo,Polo,José Pierre M.J. Comte de madre,ZZX,Men,polo men,Silver,0,1,0
Paris (1900),1900,Polo,Polo,Frederick Maitland Freake,ZZX,Men,polo men,Silver,0,1,0
Paris (1900),1900,Polo,Polo,Walter Adolph Mccreery,ZZX,Men,polo men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Francois Antoine Brandt,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Hermanus Gerardus Brockmann,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Roelof Klein,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Ruud Gerbens Leegstra,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Walter Middelberg,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Hendrik Karel Offerhaus,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Walter Thijssen,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Henricus Tromp,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Johannes Wilhelmus Maria Van dijk,NED,Men,eight with coxswain (8+) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Louis Abell,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,William Carr,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Harry Debaecke,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,John Exley,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,John Geiger,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Edward Hedley,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,James Juvenal,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Roscoe Lockwood,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Edward Marsh,USA,Men,eight with coxswain (8+) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Prospère Bruggeman,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Jules De bisschop,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Oscar De cock,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Oscar Charles De somville,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Maurice Hemelsoet,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Frank Odberg,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Marcel Lucien Van crombrugghe,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Alfred Van landeghem,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Maurice Verdonck,BEL,Men,eight with coxswain (8+) men,Silver,0,1,0
Paris (1900),1900,Rowing,Rowing,Wilhelm Carstens,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Ernst Felle,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Otto Fickeisen,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Julius Körner,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Franz Kröwerath,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Carl Lehle,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Adolf Möller,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Gustav Adolf Moths,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Hugo Rüster,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Hermann Wilker,GER,Men,four-oared shell with coxswain (4-) men,Bronze,0,0,1
Paris (1900),1900,Rowing,Rowing,Henri Bouckaert,FRA,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Jean Cau,FRA,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Charlot,FRA,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Emile Delchambre,FRA,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Carl Heinrich Gossler,GER,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Gustav Ludwig Gossler,GER,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Oscar Gossler,GER,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Henri Hazebrouck,FRA,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Walther Katzenstein,GER,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Waldemar Tietgens,GER,Men,four-oared shell with coxswain (4-) men,Gold,1,0,0
Paris (1900),1900,Rowing,Rowing,Hermanus Gerardus Brockmann,NED,Men,four-oared shell with coxswain (4-) men,Silver,0,1,0
